player_id,player_name,positions,assist_tackles,completions,fg_20_29,fg_30_39,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_yards,pass_attempts,passing_tds,passing_yards,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_yards,sacks,solo_tackles,tackles,targets
aj-hendy,A.J. Hendy,FS/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,
andrew-soroh,Andrew Soroh,S/SAF/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
anthony-johnson,Anthony Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,3.0,3.0,
antwione-williams,Antwione Williams,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
austin-duke,Austin Duke,WR,,,,,,,,,,,5.0,18.0,67.0,,,,6.0,4.0,,,2.0,,,,,,,,,,,,,
ben-heeney,Ben Heeney,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
brian-khoury,Brian Khoury,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
bryce-jones,Bryce Jones,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,
bunmi-rotimi,Bunmi Rotimi,DL/OLB/DT/DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,
cardale-jones,Cardale Jones,QB,,23.0,,,,,,,1.0,,,,,37.0,2.0,264.0,,,,,,,,,,,,,1.0,14.0,,,,
carlos-merritt,Carlos Merritt,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
cavon-walker,Cavon Walker,DE/DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,
colby-pearson,Colby Pearson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,,,,,,
dc-defenders,DC Defenders,,,,,,,9.0,27.0,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,
djuan-hines,D\'Juan Hines,OLB/LB/DB,3.0,,,,,3.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,
dallas,Dallas,,,,,,,19.0,25.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
darius-victor,Darius Victor,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,16.0,,,,
deandre-thompkins,DeAndre Thompkins,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,67.0,6.0,1.0,5.0,,,,3.0
demetrious-cox,Demetrious Cox,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
derrick-hayward,Derrick Hayward,WR,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,1.0,,,,,,1.0
des-lawrence,Des Lawrence,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
donnel-pumphrey,Donnel Pumphrey,RB,,,,,,,,,,,1.0,14.0,14.0,,,,,,,,,,,,,,26.0,3.0,12.0,52.0,,,,3.0
dravon-askew-henry,Dravon Askew-Henry,S/SAF/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
ej-bibbs,EJ Bibbs,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,2.0,,,,,,1.0
eli-rogers,Eli Rogers,WR,,,,,,,,,,,,,,,,,18.0,41.0,,,4.0,,,,,,49.0,5.0,,,,,,2.0
elijah-campbell,Elijah Campbell,S/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
frank-ginda,Frank Ginda,OLB/LB/DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,
houston,Houston,,,,,,,7.0,28.0,12.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,
hunter-niswander,Hunter Niswander,P,,,,,,,,,,,,,,,,,,,42.7,50.0,,128.0,3.0,4.0,2.0,,,,,,,,,
jake-powell,Jake Powell,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,1.0,1.0,
jamar-summers,Jamar Summers,CB/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
jameer-thurman,Jameer Thurman,LB/DB,2.0,,,,,46.0,1.0,46.0,,1.0,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,
jawuan-johnson,Jawuan Johnson,LB/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
jay-bromley,Jay Bromley,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,
jhurell-pressley,Jhurell Pressley,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2.0,11.0,32.0,,2.0,2.0,
joe-horn,Joe Horn,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,
joey-mbu,Joey Mbu,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,
jonathan-celestin,Jonathan Celestin,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,
jonathan-massaquoi,Jonathan Massaquoi,DL/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
justin-vogel,Justin Vogel,P,,,,,,,,,,,,,,,,,,,45.2,60.0,,226.0,5.0,41.0,4.0,,,,,,,,,
keshun-freeman,KeShun Freeman,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
khalid-abdullah,Khalid Abdullah,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,
khari-lee,Khari Lee,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
los-angeles,Los Angeles,,,,,,,15.0,18.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
malachi-dupre,Malachi Dupre,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,,,,,,
marquise-williams,Marquise Williams,QB,,4.0,,,,,,,,,,,,8.0,,51.0,,,,,,,,,,,,,2.0,16.0,,,,
matt-colburn,Matt Colburn,,,,,,,,,,,,2.0,23.0,43.0,,,,,,,,,,,,,,10.0,1.0,,,,,,
matt-elam,Matt Elam,DB,,,,,,10.0,,10.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
matt-mcgloin,Matt McGloin,QB,,8.0,,,,,,,2.0,,,,,19.0,,44.0,,,,,,,,,,,,,1.0,,,,,
mekale-mckay,Mekale McKay,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,3.0,,,,,,1.0
peli-anau,Peli Anau,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
rahim-moore,Rahim Moore,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
ranthony-texada,Ranthony Texada,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
rashad-ross,Rashad Ross,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,4.0,,,,,,3.0
ryan-mueller,Ryan Mueller,DE/LB/DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,
scooby-wright,Scooby Wright,LB/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
scott-daly,Scott Daly,LS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
seattle,Seattle,,,,,,,3.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
shamarko-thomas,Shamarko Thomas,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
simmie-cobbs,Simmie Cobbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
st-louis,St. Louis,,,,,,,6.0,24.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,
tj-barnes,T.J. Barnes,DL/DT/DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
total,TOTAL,WR,12.0,23.0,2.0,1.0,3.0,46.0,1.0,56.0,1.0,2.0,1.0,14.0,14.0,37.0,2.0,264.0,18.0,41.0,42.7,50.0,4.0,128.0,3.0,4.0,2.0,2.0,264.0,23.0,28.0,108.0,3.0,36.0,48.0,12.0
tampa-bay,Tampa Bay,,,,,,,,9.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
tavaris-barnes,Tavaris Barnes,DL/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,
teo-redding,Teo Redding,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,,,,,,
terrence-alexander,Terrence Alexander,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
tim-cook,Tim Cook,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,10.0,39.0,,,,
toby-johnson,Toby Johnson,DL/DT/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
tracy-sprinkle,Tracy Sprinkle,DL/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
tyler-rausa,Tyler Rausa,K,,,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyree-kinnel,Tyree Kinnel,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,
