player_id,player_name,positions,3pt_other,3pt_pass,blocked_punt,conversions,dst_touchdown,extra_point,fumble_recoveries,interceptions,interceptions_lost,interceptions_made,lost_fumbles,made_19,made_29,made_39,made_49,made_50,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,safety
joseph-putu,Joseph Putu,CB/DB,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
josh-banderas,Josh Banderas,DB/LB,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
josh-love,Josh Love,QB,,,,0.0,,,,,4.0,,0.0,,,,,,,4.0,787.0,,,,,0.0,32.0,,
julian-allen,Julian Allen,TE,,,,,,,,,,,,,,,,,,,,,0.0,116.0,10.0,,,,
justin-alexander-johnson,Justin Alexander-Johnson,TE,,,,,,,,,,,,,,,,,,,,,0.0,23.0,2.0,,,,
justin-hughes,Justin Hughes,LB,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
juwan-washington,Juwan Washington,RB,,,,,,,,,,,0.0,,,,,,,,,,0.0,70.0,10.0,3.0,301.0,,
juwann-bushell-beatty,Juwann Bushell-Beatty,OL/T,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
kj-costello,KJ Costello,QB,,,,,,,,,0.0,,0.0,,,,,,,0.0,111.0,,,,,0.0,-15.0,,
kavontae-turpin,KaVontae Turpin,WR,,,,,2.0,,,,,,0.0,,,,,,,,,,4.0,560.0,47.0,1.0,119.0,,
kahlil-lewis,Kahlil Lewis,WR,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
kai-absheer,Kai Absheer,OL,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
keith-mumphery,Keith Mumphery,WR,,,,,,,,,,,,,,,,,,,,,0.0,57.0,6.0,0.0,-6.0,,
kenji-bahar,Kenji Bahar,QB,,,,0.0,,,,,2.0,,2.0,,,,,,,2.0,541.0,,,,,0.0,87.0,,
kenneth-walker-iii,Kenneth Walker III,WR/RB,,,,,,,,,,,,,,,,,,,,,0.0,7.0,1.0,,,,
kieron-williams,Kieron Williams,DB/SAF,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
kyahva-tezino,Kyahva Tezino,ILB/OLB/LB,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
kyle-lauletta,Kyle Lauletta,QB,,,,,,,,,0.0,,0.0,,,,,,,0.0,270.0,,,,,0.0,18.0,,
kyle-sloter,Kyle Sloter,QB,,,,5.0,,,,,13.0,,2.0,,,,,,,10.0,2108.0,,0.0,0.0,1.0,1.0,58.0,,
kyshonn-tyson,Kyshonn Tyson,DL/DT,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
lamichael-pettway,La\'Michael Pettway,TE,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,2.0,277.0,23.0,,,,
lance-lenoir-jr,Lance Lenoir Jr.,WR,,,,1.0,,,,,,,1.0,,,,,,,,,,2.0,485.0,52.0,0.0,7.0,,
larry-rose-iii,Larry Rose III,RB,,,,,,,,,,,,,,,,,,,,,0.0,21.0,4.0,0.0,32.0,,
lavaedeay-lee,Lavaedeay Lee,QB,,,,0.0,,,,,6.0,,2.0,,,,,,,6.0,729.0,,0.0,-5.0,1.0,1.0,60.0,,
lee-morris,Lee Morris,WR,,,,,,,,,,,,,,,,,,,,,0.0,5.0,1.0,,,,
lorenzo-burns,Lorenzo Burns,OLB/CB,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
luis-aguilar,Luis Aguilar,K,,,,,,20.0,,,,,,0.0,1.0,6.0,3.0,0.0,3.0,,,,,,,,,,
luis-perez,Luis Perez,QB,,,,0.0,,,,,3.0,,3.0,,,,,,,6.0,1074.0,,0.0,14.0,1.0,1.0,-11.0,,
madre-london,Madre London,RB,,,,0.0,,,,,,,1.0,,,,,,,,,,0.0,35.0,8.0,1.0,415.0,,
malcolm-elmore,Malcolm Elmore,S/SAF,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
malcolm-howard,Malcolm Howard,OLB/LB,,,,,,,,,,,0.0,,,,,,,,,,1.0,14.0,1.0,,,,
marcus-baugh,Marcus Baugh,WR/TE,,,,,,,,,,,,,,,,,,,,,1.0,101.0,12.0,,,,
marcus-lewis,Marcus Lewis,CB/DB,,,,,,,,,,,,,,,,,,,,,0.0,5.0,1.0,,,,
mark-thompson,Mark Thompson,RB,,,,,,,,,,,,,,,,,,,,,2.0,40.0,7.0,2.0,465.0,,
marlon-williams,Marlon Williams,WR,,,,,,,,,,,,,,,,,,,,,4.0,490.0,35.0,,,,
marquis-lucas,Marquis Lucas,T/OG,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
marquis-mcclain,Marquis McClain,WR,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,
matt-burrell-jr,Matt Burrell Jr.,OL,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,
matt-colburn-ii,Matt Colburn II,RB,,,,1.0,,,,,,,2.0,,,,,,,,,,1.0,154.0,19.0,8.0,481.0,,
matt-mengel,Matt Mengel,K,,,,,,8.0,,,,,,0.0,3.0,2.0,1.0,0.0,5.0,,,,,,,,,,
matt-seybert,Matt Seybert,TE,,,,,,,,,,,,,,,,,,,,,1.0,34.0,5.0,,,,
matt-white,Matt White,K,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
maurice-alexander,Maurice Alexander,WR,,,,,,,,,0.0,,0.0,,,,,,,0.0,7.0,,2.0,234.0,20.0,0.0,0.0,,
max-duffy,Max Duffy,P,,,,,,,,,0.0,,0.0,,,,,,,0.0,19.0,,,,,0.0,-14.0,,
micah-abernathy,Micah Abernathy,S/CB,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
michael-carrizosa,Michael Carrizosa,P/K,,,,,,0.0,,,,,,0.0,1.0,0.0,0.0,0.0,3.0,,,,,,,,,,
michael-dereus,Michael Dereus,WR,,,,,,,,,,,,,,,,,,,,,1.0,61.0,7.0,,,,
michigan-dst,Michigan DST,DST,,,1.0,,1.0,,4.0,,,5.0,,,,,,,,,,236.0,,,,,,15.0,
michigan-k,Michigan K,K,,,,,,9.0,,,,,,0.0,4.0,3.0,3.0,2.0,4.0,,,,,,,,,,
michigan-qb,Michigan QB,QB,,,,,,,,0.0,8.0,,,,,,,,,13.0,2012.0,,,,,4.0,272.0,,
mike-bell-jr,Mike Bell Jr.,S/SAF,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
mikey-daniel,Mikey Daniel,RB,,,,,,,,,,,1.0,,,,,,,,,,0.0,53.0,9.0,0.0,30.0,,
nate-holley,Nate Holley,S/DB/LB/SAF,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
new-jersey-dst,New Jersey DST,DST,,,,,2.0,,1.0,,,10.0,,,,,,,,,,188.0,,,,,,9.0,
new-jersey-k,New Jersey K,K,,,,,,22.0,,,,,,0.0,2.0,4.0,2.0,2.0,10.0,,,,,,,,,,
new-jersey-qb,New Jersey QB,QB,,,,,,,,0.0,5.0,,,,,,,,,10.0,1598.0,,,,,4.0,206.0,,
new-orleans-dst,New Orleans DST,DST,,,2.0,,2.0,,7.0,,,10.0,,,,,,,,,,195.0,,,,,,24.0,1.0
new-orleans-k,New Orleans K,K,,,,,,15.0,,,,,,0.0,6.0,4.0,2.0,2.0,4.0,,,,,,,,,,
new-orleans-qb,New Orleans QB,QB,,,,2.0,,,,,10.0,,,,,,,,,12.0,2295.0,,,,,1.0,116.0,,
nicholas-buchanan,Nicholas Buchanan,OL,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
nick-rose,Nick Rose,G/K,,,,,,10.0,,,,,,0.0,1.0,0.0,1.0,1.0,7.0,,,,,,,,,,
nick-vogel,Nick Vogel,K,,,,,,12.0,,,,,,0.0,4.0,4.0,5.0,5.0,5.0,,,,,,,,,,
nigel-chavis,Nigel Chavis,DE/LB,,,,,,,,,0.0,,,,,,,,,0.0,4.0,,0.0,13.0,2.0,,,,
olive-sagapolu,Olive Sagapolu,DL/NT/DT,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
osirus-mitchell,Osirus Mitchell,WR,,,,,,,,,,,1.0,,,,,,,,,,4.0,397.0,27.0,,,,
paris-ford,Paris Ford,S/SAF,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
paul-terry,Paul Terry,RB,1.0,,,,,,,,,,1.0,,,,,,,,,,0.0,120.0,18.0,2.0,169.0,,
paxton-lynch,Paxton Lynch,QB,,,,1.0,,,,,4.0,,2.0,,,,,,,5.0,550.0,,,,,2.0,74.0,,
peter-guerriero,Peter Guerriero,RB,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
peyton-ramzy,Peyton Ramzy,WR,,,,,,,,,,,,,,,,,,,,,0.0,72.0,2.0,0.0,8.0,,
philadelphia-dst,Philadelphia DST,DST,,,1.0,,,,7.0,,,15.0,,,,,,,,,,257.0,,,,,,27.0,1.0
philadelphia-k,Philadelphia K,K,,,,,,28.0,,,,,,0.0,4.0,8.0,4.0,0.0,8.0,,,,,,,,,,
philadelphia-qb,Philadelphia QB,QB,,1.0,,,,,,1.0,7.0,,,,,,,,,17.0,1647.0,,,,,2.0,273.0,,
pittsburgh-dst,Pittsburgh DST,DST,,,1.0,,1.0,,4.0,,,6.0,,,,,,,,,,217.0,,,,,,17.0,
pittsburgh-k,Pittsburgh K,K,,,,,,7.0,,,,,,0.0,5.0,2.0,3.0,4.0,7.0,,,,,,,,,,
pittsburgh-qb,Pittsburgh QB,QB,,,,,,,,0.0,9.0,,,,,,,,,11.0,1755.0,,,,,2.0,135.0,,
pro-wells,Pro Wells,TE,,,,,,,,,,,,,,,,,,,,,1.0,55.0,3.0,,,,
ralph-holley,Ralph Holley,DL/DT,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
ramiz-ahmed,Ramiz Ahmed,K,,,,,,7.0,,,0.0,,,0.0,5.0,2.0,3.0,4.0,7.0,1.0,14.0,,,,,,,,
randy-satterfield,Randy Satterfield,WR,,,,,,,,,,,0.0,,,,,,,,,,1.0,154.0,12.0,0.0,7.0,,
rannell-hall,Rannell Hall,CB,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
rashard-davis,Rashard Davis,WR,,,,,1.0,,,,0.0,,2.0,,,,,,,0.0,0.0,,2.0,369.0,22.0,,,,
ray-bolden,Ray Bolden,WR,,,,,,,,,,,,,,,,,,,,,0.0,9.0,1.0,0.0,-2.0,,
reggie-corbin,Reggie Corbin,RB,,,,0.0,,,,,,,0.0,,,,,,,,,,0.0,51.0,6.0,2.0,518.0,,
reggie-howard-jr,Reggie Howard Jr.,DL/DT,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
reggie-northrup,Reggie Northrup,DB/LB,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
roland-rivers,Roland Rivers,QB,,,,1.0,,,,,1.0,,0.0,,,,,,,2.0,366.0,,,,,1.0,46.0,,
ryan-navarro,Ryan Navarro,LS,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
ryan-omalley,Ryan O\'Malley,TE,,,,,,,,,,,,,,,,,,,,,1.0,80.0,5.0,,,,
ryan-pope,Ryan Pope,OT/T/OL,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
sage-surratt,Sage Surratt,TE,,,,,,,,,,,,,,,,,,,,,0.0,148.0,11.0,0.0,,,
sal-cannella,Sal Cannella,TE,,,,1.0,,,,,,,0.0,,,,,,,,,,2.0,464.0,40.0,,,,
scooby-wright-iii,Scooby Wright III,ILB/LB,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
scott-flanick,Scott Flanick,LS,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
sean-pollard,Sean Pollard,OL,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,
sean-williams-jr,Sean Williams Jr.,SAF,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
seth-thomas,Seth Thomas,DE,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
shakir-soto,Shakir Soto,DL/DB/DT,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
shalom-luani,Shalom Luani,S/SS/SAF,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
shane-griffin,Shane Griffin,LS,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
shareef-miller,Shareef Miller,DE,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
shawn-poindexter,Shawn Poindexter,WR,,,,,,,,,,,,,,,,,,,,,1.0,201.0,18.0,,,,
shea-patterson,Shea Patterson,QB,,,,1.0,,,,,5.0,,1.0,,,,,,,4.0,981.0,,,,,2.0,175.0,,
steven-rowzee,Steven Rowzee,G,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,1.0,,,,
stevie-scott-iii,Stevie Scott III,RB,,,,2.0,,,,,,,,,,,,,,,,,0.0,106.0,9.0,3.0,309.0,,
tj-logan-jr,T.J. Logan Jr.,RB,,,,1.0,,,,,,,0.0,,,,,,,,,,0.0,67.0,8.0,2.0,99.0,,
tae-hayes,Tae Hayes,CB,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
tampa-bay-dst,Tampa Bay DST,DST,,,1.0,,1.0,,4.0,,,6.0,,,,,,,,,,195.0,,,,,,22.0,
tampa-bay-k,Tampa Bay K,K,,,,,,15.0,,,,,,0.0,3.0,5.0,1.0,0.0,5.0,,,,,,,,,,
tampa-bay-qb,Tampa Bay QB,QB,,,,,,,,2.0,11.0,,,,,,,,,14.0,1694.0,,,,,1.0,354.0,,
taylor-bertolet,Taylor Bertolet,K,,,,,,11.0,,,,,,0.0,5.0,3.0,2.0,2.0,2.0,,,,,,,,,,
taywan-taylor,Taywan Taylor,WR,,,,,,,,,,,1.0,,,,,,,,,,0.0,325.0,25.0,,,,
tevon-coney,Te\'Von Coney,OLB/LB,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
teo-redding,Teo Redding,WR,,,,,,,,,,,,,,,,,,,,,1.0,249.0,17.0,,,,
terrell-bonds,Terrell Bonds,CB/DB,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
tomasi-laulile,Tomasi Laulile,DT,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
tony-brooks-james,Tony Brooks-James,RB,,,,,,,,,,,,,,,,,,,,,1.0,51.0,9.0,0.0,226.0,,
toree-boyd,Toree Boyd,OL,,,,,,,,,0.0,,,,,,,,,0.0,17.0,,,,,,,,
tra-minter,Tra Minter,RB,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,17.0,,
travis-feeney,Travis Feeney,DL/OLB/DB/LB,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
tre-walker,Tre Walker,WR,,,,,,,,,,,,,,,,,,,,,1.0,362.0,33.0,,,,
trey-williams,Trey Williams,RB,,,,0.0,,,,,,,0.0,,,,,,,,,,0.0,138.0,27.0,2.0,605.0,,
tyler-palka,Tyler Palka,WR,,,,,,,,,,,,,,,,,,,,,0.0,188.0,18.0,,,,
tyler-rausa,Tyler Rausa,K,,,,,,15.0,,,,,,0.0,3.0,5.0,1.0,0.0,5.0,,,,,,,,,,
tyler-simmons,Tyler Simmons,WR,,,,,,,,,,,,,,,,,,,,,1.0,89.0,8.0,0.0,13.0,,
victor-bolden-jr,Victor Bolden Jr.,WR,,,,0.0,,,,,,,1.0,,,,,,,,,,1.0,425.0,43.0,0.0,0.0,,
vinny-papale,Vinny Papale,WR,,,,0.0,,,,,,,,,,,,,,,,,0.0,244.0,19.0,0.0,-5.0,,
vontae-diggs,Vontae Diggs,DB/OLB/LB,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
wes-saxton-jr,Wes Saxton Jr.,TE,,,,,,,,,,,,,,,,,,,,,0.0,10.0,2.0,,,,
will-likely,Will Likely,CB,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
willie-henry,Willie Henry,DT,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
woody-brandom,Woody Brandom,TE,,,,,,,,,,,0.0,,,,,,,,,,0.0,129.0,11.0,,,,
zach-smith,Zach Smith,QB,,,,,,,,,2.0,,,,,,,,,2.0,134.0,,,,,0.0,54.0,,
